entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
PAGE PERSONNEL,"1 
 CDD 
 de 12 mois",Clichy - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,36 - 42 k€ brut annuel,Dès que possible,Aucune expérience exigée,Data analyst,Cadre du secteur privé,Pas de déplacement,AUTRES COMMERCES DE DÉTAIL SPÉCIALISÉS DIVERS,,"Le Data Analyst E-Commerce sera en charge d'optimiser la sélection des catégories de produits pour les sites internet français et belge. Il contribuera à l'automatisation des processus de sélection en collaboration avec les équipes transverses. À ce titre, les principales responsabilités du Data Analyst E-Commerce seront les suivantes :
Accompagnement des équipes métiers dans la construction de leur sélection de catégories (prix, inventaires, fiches) ;
Création et simplification de processus permettant de répondre aux besoins des consommateurs ;
Analyse et interprétation des données produits afin de définir des objectifs à court et long terme ;
Construction de tableaux de bord, analyse de la concurrence.




#intérim","Diplômé d'une formation supérieure en analyse de données, statistiques, marketing ou commerce (de type école de commerce ou école d'Ingénieurs), vous justifiez d'au moins 2 ans d'expérience professionnelle acquise à un poste similaire, idéalement dans le secteur du e-commerce, de la tech ou du retail.

Vous maîtrisez aussi bien la manipulation de fichiers de données volumineux (Excel) que leur interprétation à des usages commerciaux (business intelligence).

Un niveau d'anglais courant est impératif à ce poste.

La maîtrise de SQL est un plus.",['Anglais'],"[""Esprit d'équipe""]","['Informatique décisionnelle', 'Microsoft Excel', 'SQL', 'Analyse de données', 'Automatisme', 'Commerce', 'Définition des objectifs', 'E-commerce', ""Management d'équipe"", 'Marketing', 'Réponse aux besoins', 'Retail', 'Statistiques', 'Tableaux de bord']","Notre client est un leader international du e-commerce, basé dans les Hauts-de-Seine.

Il recherche un Data Analyst E-Commerce en intérim pour une mission longue."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Paris 08 - 75,Publiée le 16/03/2024,Actualisée le 16/03/2024,28 - 35 k€ brut annuel,Dès que possible,Aucune expérience exigée,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,"En qualité de Data Manager, vous êtes en charge d'organiser l'ensemble des données gérées par l'entreprise.

Vous serez amenés dans le cadre de vos missions à intervenir dans les domaines suivants :

Gouvernance des données :
Architecture, modélisation et conception des données,
Gestion des données,
Classement des fichiers,
Mise à jour des bases de données en ajoutant les données manquantes et en supprimant les erreurs de datas,
Mise à jour de notre GED,
Tri de la base clients et prospects,
Création et complétude de champs,
Édition et envoi automatisés de communication (reportings, newsletters...),
Gestion des risques liés aux données (confidentialité, sécurité, conformité),
Supervision de la procédure RGPD au sien de l'entreprise.




Développement et amélioration des process :
Élaboration d'une stratégie pour la gestion des données clés et l'optimisation du traitement de ces dernières,
Coordination et mise en oeuvre de cette stratégie,
Mise en place d'outils qui vise au traitement systématique des données clients,
Mise en place d'une passerelle avec notre outil-métier : Administration et modération de l'outil métier (O2S).




Poste basé à Paris-8e-Arrondissement en CDI.","Idéalement issu d'une formation Bac +3 minimum, vous êtes un Data Manager doté :
D'un esprit de synthèse,
D'une capacité de prise de décision et d'initiative,
D'une qualité d'organisation et de rigueur.




Poste basé à Paris-8e-Arrondissement en CDI.",['Aucune langue attendue'],"['Capacité à prendre des décisions', 'Capacité de synthèse', 'Confidentialité', ""Esprit d'initiative"", 'Rigueur', ""Sens de l'organisation""]","['Amélioration continue', 'Architecture', 'Automatisme', 'Base de données', 'Communication', 'Data Management', 'Gestion de base de données', 'Gestion des risques', 'Gestion documentaire', ""Procédure d'entreprise"", 'Publication', 'Reporting', 'Support de communication']","Recrutez rapidement les meilleurs experts en Informatique avec Michael Page Technology ! Nos Consultants spécialisés en recrutement IT associent outils de sourcing innovants, approche directe et conseil personnalisé pour recruter vos talents IT en CDI, Freelance, Management de Transition ou Intérim. Michael Page Technology répond à vos enjeux de recrutement en Infrastructure, Développement, Data, IA, Cloud, Cybersécurité, Projets etc.

Notre client est une société à taille humaine spécialisée dans le conseil en investissements qui recrute aujourd'hui un Data Manager en CDI.

Poste basé à Paris-8e-Arrondissement."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Courbevoie - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,50 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Business analyst,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Au sein du Pôle Données de la DSI de notre client, vous interviendrez sur toute la chaîne de valeur numérique et data en lien avec différents business et ses Product Owners et vos missions seront nombreuses et transverses :
Définir, concevoir et améliorer les lignes de services ou les solutions Si métier qui sont sur votre responsabilité,
Vous définissez ce sur quoi le train Agile doit travailler dans le but de maximiser la valeur produite pour l'ensemble des métiers,
Qualifier et évaluer les tendances actuelles au regard des nouveaux besoins utilisateurs,
Proposer des évolutions ou nouvelles solutions au regard de ces nouvelles tendances,
Élaborer une roadmap et suivre son avancement,
Assurer le cadre des fonctionnalités visées, les formaliser et prioriser les backlogs des solutions avec les métiers ainsi que les cas d'usage,
Suivre les interactions des clients avec la solution et définir les nouvelles actions,
Suivre les évolutions des développements et arbitrer par la valeur ajoutée si besoin,
S'assurer de la cohérence des produits,
Participer activement aux cérémonies Agile à l'échelle des solutions (Pre-post PI Planning, PI planning, démos, rétro, trains, etc.).","En tant que Business Analyst Mécanisme de Marché, vous êtes idéalement diplômé d'un Bac +5 minimum et justifiez d'une expérience d'au moins 5 ans à un poste similaire.

Vous connaissez les attendus suivants :
Vous avez déjà évolué sur des sujets de mécanismes de marché, idéalement dans l'énergie mais tout autre domaine de trading nous intéressera,
Vous savez analyser et piloter un grand volume de donnée, la Data est au coeur de votre action de création de valeur ajoutée,
Vous avez évolué entre le Business et les équipes IT dans le but de mettre en place des solutions et produits IT,
Vous maîtrisez la méthodologie Agile,
Très bon relationnel.",['Aucune langue attendue'],['Sens du relationnel'],"['Méthodologie agile', 'Roadmap', 'Scrum', ""Technologies innovantes et management de l'innovation"", 'Trading']","Mon client est un acteur incontournable de la distribution d'électricité en France et exploite une quantité des données qui a peu d'équivalents en France.

Au sein de la DSI et du Pôle Données, il cherche à recruter un candidat avec l'expérience du trading et de la donnée, que ce soit dans un contexte Energie ou d'autres mécanismes de marché."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Courbevoie - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,50 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Data engineer,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Au sein de la DSI Groupe, rattaché au Pôle Données, vos responsabilités sont les suivantes :

Votre mission première sera de participer activement à la démarche d'industrialisation des solutions big data :
Vous collaborez fortement avec une équipe d'experts sur la donnée énergétique dans le but de concevoir l'architecture big data et la piloter,
Vous serez attendu également sur tous les sujets d'innovations data visant à améliorer et valoriser la donnée : Move to cloud pour exemple,
Vous anticipez les challenges à venir comme une croissance forte des volumes de données et les outils technologiques adéquats et qui permettront d'y répondre,
Vous devez embarquer différents interlocuteurs tant métiers, top management que les interlocuteurs techniques du pôle et de la DSI Groupe,
Vous devrez échanger avec les équipes infrastructure du Groupe sur les meilleures solutions d'hébergement de la donnée et répondant à l'accroissement du volume,
Dans cette démarche collaborative, vous serez chargé de réaliser des études techniques,
Vous participez activement aux cérémonies AGILE.","Issu d'une formation supérieure, de type école d'Ingénieur ou équivalent universitaire, vous justifiez d'une expérience d'au moins 5 ans dans le domaine de l'IT, dont au moins une expérience dans des fonctions similaires et si possible dans un environnement Agile.

Vous disposez de solides compétences en gestion de données volumiques et complexes.

Vous maîtrisez idéalement les outils technologiques suivants : Le cloud orienté données, Hadoop, Spark, Postgres et un gros plus si vous connaissez Teradata. Vous maîtrisez idéalement Java, Scala et Python.

C'est un gros plus si vous maîtrisez également l'environnement DevOps et la méthode Finops.",['Aucune langue attendue'],['Proactivité'],"['Cloud', 'FinOps', 'Gestion de base de données', 'Hadoop', 'Java', 'Python', 'Scala', 'Spark', 'Teradata', 'Big Data', 'Études techniques', 'Industrialisation', 'Scrum', ""Technologies innovantes et management de l'innovation""]","Notre client est un acteur incontournable du secteur de l'énergie.

Dans un contexte de transformation majeure de son SI, liée à l'intégration de technologies innovantes ainsi qu'à de forts enjeux de transition énergétique, notre client ambitionne de doubler les effectifs de sa DSI dans les prochaines années."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Nanterre - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,65 - 80 k€ brut annuel,Dès que possible,Aucune expérience exigée,Administrateur data center,Cadre du secteur privé,Pas de déplacement,AUTRES ACTIVITÉS DE SOUTIEN AUX ENTREPRISES NCA,,"Au sein de l'équipe infrastructure d'une dizaine d'Architectes et d'Ingénieurs Confirmés, vous intervenez comme Architecte Infrastructure Datacenter. Vos missions :
Définir des normes pour l'installation de nouveaux matériels et systèmes de surveillance,
Gérer et concevoir l'espace du datacenter, incluant la disposition des racks, le confinement chaud/froid, l'infrastructure du réseau, la distribution des circuits de dérivation, les exigences en matière d'alimentation, le cheminement des câbles et les phases de construction prévues,
Collaborer avec les équipes de proximité du datacenter, les parties prenantes internes et établir les exigences et s'assurer qu'elles soient respectées par les équipes de proximité du data center et créer des normes d'infrastructure pour les datacenters à l'échelle mondiale,
Effectuer des analyses d'ingénierie dans les data centers existants et diriger les réunions de coordination du projet et communiquer clairement les mises à jour nécessaires,
Travailler en étroite collaboration l'équipe d'ingénierie pour partager les meilleures pratiques,
Établir un lien efficace entre le monde logique et le monde physique, en garantissant une compréhension holistique de l'ensemble de l'infrastructure,
Agir en tant que point de contact mondial concernant la conception, la mise en oeuvre et la livraison des projets qui affectent leurs data centers.","Diplômé d'un Bac +5 minimum en informatique, vous disposez d'une expérience d'au moins 5 ans à un poste similaire dans le domaine de l'infrastructure.

Vous êtes reconnu pour votre proactivité et votre bonne capacité à gérer les priorités. Vous faites preuve de pédagogie et êtes à l'aise dans le transfert de connaissances et les discussions techniques.

Anglais professionnel exigé.",['Anglais'],"[""Esprit d'équipe"", 'Pédagogie', 'Proactivité']","['Alimentation', 'Centre de traitement de données', 'Conduite de réunions', 'Gestion des priorités', 'Informatique', 'Management de projet', 'Physique', 'Processus et gestion de la paie', 'Rack']","Nous recrutons pour notre client, prestataire leader de l'externalisation de la gestion de paie, de l'administration du personnel et de la gestion des ressources humaines, un Architecte Infrastructure Datacenter.

D'envergure internationale, il compte aujourd'hui en France plus de 2 000 salariés et 12 000 clients.

Le poste est à pourvoir à Nanterre (92)."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Le Perray-en-Yvelines - 78,Publiée le 16/03/2024,Actualisée le 16/03/2024,40 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Data engineer,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"Contribuer à l'exécution de la stratégie informatique en lien avec les objectifs commerciaux :
Collaborer avec l'équipe informatique et les unités opérationnelles pour comprendre et satisfaire les exigences en matière de données,
Traduire les exigences fonctionnelles et techniques complexes,
Utiliser les langages de programmation et les outils (Talend, Power Automate, Power Apps) pour intégrer les systèmes et en construire de nouveaux si nécessaires,
Développer des processus et des pipelines de données pour la modélisation, l'extraction et la production de données,
Documenter et communiquer des conceptions complexes à un large éventail de publics,
Préparer et documenter les exigences de test ainsi que toutes les données,
Contribuer au dépannage et à la résolution des défauts dans le logiciel et les solutions,
Participer aux revues d'architecture et suggérer des améliorations,
Développer les workflows en utilisant les outils appropriés en fonction des systèmes des clients et des plateformes locales (Talend mais aussi Microsoft Power platform, etc.),
Optimiser les flux de produits,
Optimiser l'intégration des fichiers produits des fournisseurs dans l'ERP Dynamics 365 F&O.","Bac +5 minimum en informatique,
Expérience précédente en tant que Data Engineer (2 ans minimum),
Environnement B2B,
Connaissance de l'environnement technique Microsoft (Azure, Dynamics, Power Platform, MS 0365...),
Industries à forte intensité de données,
Expérience en Java/J2EE, XML, XSLT, ESB/ETL, idéalement Talend,
Familiarité avec la méthodologie Agile/Scrum,
Solides compétences en matière de dépannage et de résolution de problèmes,
Anglais bon niveau.",['Anglais'],"['Capacité à résoudre des problèmes', ""Esprit d'équipe""]","['Architecture', 'B to B', 'Enterprise Service Bus', 'ERP', 'Extensible stylesheet language', 'Extract Transform Load', 'Informatique', 'Java', 'Java EE', 'Langage de programmation', 'Management commercial', 'Méthodologie agile', 'Microsoft Office XP', 'Microsoft Windows Azure', 'Moteur de workflow', 'Scrum', 'Stratégie informatique', 'Talend', 'Tube Unix', 'XML']","Un acteur majeur dans les sciences de la vie et vend un vaste catalogue de réactifs provenant de nombreux fournisseurs à des laboratoires universitaires, des grandes entreprises pharmaceutiques et des startups biotechnologiques.

Son modèle économique est basé sur les données : Il agrège, qualifie, améliore, harmonise, concentre et présente les données de ses fournisseurs à ses clients. L'objectif est de faciliter l'expérience d'achat des clients, par le biais de catalogues personnalisés, de « punchouts » ou même d'intégrations e-procurement."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Boulogne-Billancourt - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,50 - 60 k€ brut annuel,Dès que possible,Aucune expérience exigée,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,FABRICATION DE PRODUITS PHARMACEUTIQUES DE BASE,,"Vos missions à ce poste seront les suivantes :

Pilotage :
Comprendre les besoins métiers et l'utilisation qui est faite des données,
Identifier le propriétaire et les consommateurs des données,
Développer et gérer le plan de migration des données,
Établir la liste exhaustive des flux et sous-flux de migration et reprise de données,
Bâtir les KPIs pour le plan de migration,
Produire un rapport d'avancement basé sur les KPIs,
Communiquer sur les risques, problèmes et blocages,
Servir le lien entre les équipes techniques et fonctionnelles pour atteindre les jalons du projet.




Qualification :
Inventorier/cartographier toutes les sources de données à migrer,
Qualifier chacune des sources pour prévoir les actions de nettoyage (extraction/filtres/transcodification/chargement…),
Repérer les risques, problèmes et blocages potentiels afin de les surveiller,
Vérifier la qualité de la donnée.




Migrer :
Piloter la mise en place des outils de nettoyage,
Organiser les tests post-nettoyage,
Piloter les runs de reprise de données en coordination avec l'Intégrateur et les AMOA/BPO.","Au moins une expérience dans la gestion d'un plan de migration de données vers les nouvelles bases de données (ex : Vers ERP, Datalake/Datawarehouse). La connaissance d'un environnement international est un plus.

Pratique d'une méthodologie de gestion de projet classique (PMI, Prince2, cycle V...) et/ou Agile (SCRUM...).

Expérience d'au moins 4 ans sur des projets d'intégration d'ERP.

Maîtrise des environnements SQL Server.",['Aucune langue attendue'],['Aucun savoir-être attendu'],"['Base de données', 'BPO', 'Datalake', 'Entrepôt de données', 'ERP', ""Maîtrise d'ouvrage (MOA-AMOA)"", 'Méthodologie de gestion de projet', 'Microsoft SQL Server', 'Prince2', 'Qualité', 'Reporting', 'Scrum']","Notre client est le leader de la distribution de produits pharmaceutiques. Dans le cadre d'un projet d'envergure de changement d'ERP, le client recherche un Chef de Projets Data qui interviendra dans le plan de migration des données des différents outils sources vers les nouvelles bases de données MSD365.

Vous êtes rattaché au Responsable Technique du programme de transformation.

Ce poste est basé à Boulogne-Billancourt dans un contexte international."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Paris 01 - 75,Publiée le 16/03/2024,Actualisée le 16/03/2024,60 - 70 k€ brut annuel,Dès que possible,Aucune expérience exigée,Business analyst,Cadre du secteur privé,Pas de déplacement,FABRICATION DE PRODUITS PHARMACEUTIQUES DE BASE,,"Le Business System Analyst ERP interviendra au sein du Département IT France et US pour :
Aider les fonctionnels dans l'expression de leurs besoins,
Proposer des solutions systèmes pour soutenir la stratégie du Groupe,
Participer aux paramétrages et développements sur Sage X3,
Diriger les tests et donner les formations aux utilisateurs clés,
Participer à l'élaboration des processus et des règles métiers nécessaires au business pour supporter la croissance forte et rapide du Groupe,
Assurer le support sur l'ERP (minimum 50% du poste au début puis le poste évoluera sur du projet principalement),
Accompagner les filiales et le corporate dans la mise en oeuvre de nouveaux process.




Il connaitra principalement les processus de distribution, supply chain et manufacturing de Sage X3 (autre ERP possible).

Il devra suivre la politique de VSI (Validation Systèmes Informatique) définies pour répondre à toutes les exigences qualités du Groupe. Il participera également à l'élaboration des règles de compliance nécessaires notamment avec la mise en place des processus SOX à venir.

Il interviendra également en lieu avec les collaborateurs du Service Infrastructure et Data.","Issu de l'enseignement supérieur, vous disposez d'au moins 5 ans d'expérience dans une fonction similaire au sein d'un cabinet de conseil, ESN ou entreprise. Vous êtes motivé et aimez travailler dans un environnement stimulant en hypercroissance au sein d'une équipe IT de qualité.

L'anglais est indispensable puisqu'il s'agit de la langue principale de travail y compris en France.",['Anglais'],"['Force de proposition', 'Motivation']","['Actions de formation', 'Enseignement', 'ERP', 'Expression des besoins', 'Informatique', 'Logistique', 'Mise en conformité', 'Normes SOX', ""Procédure d'entreprise"", 'Protocole opératoire', 'Qualité', 'Sage', 'SSII']","Recrutez rapidement les meilleurs experts en Informatique avec Michael Page Technology ! Nos consultants spécialisés en recrutement IT associent outils de sourcing innovants, approche directe et conseil personnalisé pour recruter vos talents IT en CDI, Freelance, Management de Transition ou Intérim. Michael Page Technology répond à vos enjeux de recrutement en Infrastructure, Développement, Data, IA, Cloud, Cybersécurité, Projets, etc.

Le client est un acteur incontournable du secteur de la santé. Il propose services à haute valeur ajouté dans le secteur de la santé. Il recherche son Business System Analyst ERP."
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Courbevoie - 92,Publiée le 16/03/2024,Actualisée le 16/03/2024,55 - 65 k€ brut annuel,Dès que possible,Aucune expérience exigée,Chief Data Officer,Cadre du secteur privé,Pas de déplacement,ACCUEIL OU ACCOMPAGNEMENT SANS HÉBERGEMENT D'ADULTES HANDICAPÉS OU DE PERSONNES ÂGÉES,,"En tant que Master Data Manager, vous occuperez les missions suivantes :
Manager le Département Master Data (2 Collaborateurs),
Définir la stratégie master data du Groupe : Mise en place des bonnes pratiques et du respect des procédures,
Participer à la définition des données nécessaires à l'exploitation des systèmes d'information,
Participer à la mise en place de données fiables au sein du CRM/ERP pour les bases de données clients fournisseurs et produits (nettoyage des bases, mise à jour des bases...),
Garantir la fiabilité des données renseignées dans le CRM/ERP par les différents utilisateurs,
Garantir la mise à jour des données renseignées dans le CRM/ERP par les différents utilisateurs et assurer un rôle d'alerte auprès des différents Business Managers en cas de manquements sur les données renseignées,
Extraire et mettre à disposition des tableaux, des statistiques ou tout autre support/analyse qui vous sera demandé par la direction et les Business Managers,
Jouer un rôle prépondérant auprès des nouveaux collaborateurs du Groupe et des filiales sur la formation et l'utilisation du CRM/ERP,
Effectuer une veille technologique.","Vous avez au moins une première expérience en management,
Vous avez les connaissances et les compétences sur les infrastructures informatiques et l'ensemble des environnements IT,
Vous disposez d'une excellente communication,
Vous êtes motivé et capable de travailler de votre propre initiative,
Vous possédez un sens du service client développé,
Votre anglais est courant,
Compétences techniques : Excel, SAP (ECC6 ou S/4HANA), Winshuttle ou autre ETL,
Soft skills : Bon communicant, méthodique, rigoureux, gestion des priorités,
Vous disposez d'au moins 5 ans d'expérience dans des fonctions similaires et d'un Bac +2 minimum en informatique.",['Anglais'],"['Capacité de communication', 'Motivation', 'Rigueur', ""Sens de l'organisation"", 'Sens du service']","['Accompagnement du client', 'Constatation de risques', 'CRM', 'ERP', 'Extract Transform Load', 'Gestion des priorités', 'Informatique', 'Management des personnes', 'Microsoft Excel', 'SAP', 'Statistiques', ""Système d'information"", ""Technologies innovantes et management de l'innovation""]","Le Master Data Manager rejoindra notre client, un Groupe international, spécialisé dans le négoce et la distribution de matières premières plastiques et de produits chimiques."
Adsearch,"1 
 CDI",Nice - 06,Publiée le 16/03/2024,Actualisée le 16/03/2024,30 - 50 k€ brut annuel,Dès que possible,Minimum 2 ans,Ingénieur développement BI,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,"En bref : Nice - CDI - Ingénieur Talend (F/H) - 35-45K 
Adsearch, cabinet de recrutement basé à Nice, vous accompagne dans votre carrière pour vous trouver LE poste idéal. 
Je recrute pour un de mes clients, un ingénieur data (F/H) basé à Nice. 
Vos missions : 
Migration dun ETL  - Talend
Maintenance de loutil 
Croisement de données 
Ordonnancement 
Normalisation des données 
Téléphonie IP 
Environnement technique : Talend, Jira, MySQL, SQLServeur…","Votre profil : 
De formation Bac+3 à Bac+5 
Passionné, curieux et autonome 
Ce qu'on vous propose : 
Un poste en data à Nice 
Environnement de travail dynamiqnue 
Le processus de recrutement :
Etape 1 : Entretien de sélection avec Adsearch pour définir vos objectifs de carrière et votre correspondance avec le poste
Etape 2 : Entretien technique avec le client
Et c’est tout ! Pas d’entretien inutile, nous allons directement au but.",['Aucune langue attendue'],"['Autonomie', 'Curiosité', 'Passionne']","['Définition des objectifs', 'Extract Transform Load', 'Jira', 'Maintenance', 'Microsoft SQL Server', 'MySQL', 'Planification industrielle', 'Processus de recrutement', 'Talend', 'Voix sur réseau IP']","Adsearch vous propose des milliers d''opportunités de carrières dans toute la France pour les profils d''experts, cadres et managers. Que ce soit pour un emploi ou pour une mission, Adsearch c''est le cabinet de recrutement qu''il vous faut ! Retrouvez toutes nos offres d’emploi en CDI, CDD, Intérim et Freelance sur notre site internet !"
