entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
AI&Data,"1 
 CDI",Boulogne-Billancourt - 92,Publiée le 01/02/2024,Actualisée le 01/02/2024,A négocier,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Nationale,"TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES",,"AI&Data  recherche aujourd'hui des Data Analysts expérimentés (2 ans d'expérience minimum) avec une appétence pour le Marketing et ayant de l expérience autour de l exploitation de données clients.
Nos consultants aident les entreprises à tirer le meilleur parti des données, à mettre en place des solutions opérationnelles, à identifier et mettre en œuvre les projets liés à la transformation digitale.
Il s'agira d'intégrer notre Pôle Customer Data Marketing, constitué de Data Analyst, Data Manager, Data Engineer, Chef de projet et Consultants Data Marketing.
Sur ce poste, vous serez amené à intervenir pour de grandes entreprises sur des projets à forte valeur ajoutée. Les principales tâches à réaliser seront :
-       Mener des analyses exploratoires sur des données marketing, créer des algorithmes de recherche de données, gérer l administration, la modélisation des gisements de données et s assurer du bon fonctionnement des bases de données.
-       Être force de proposition pour apporter un regard analytique sur des problématiques métiers et/ou business : savoir traduire et synthétiser des informations pour faciliter la prise de décision.
-       Contribuer à la mise en place de projet de transformations data-driven au sein des métiers
-       Communiquer avec les métiers et les équipes tech/data
-       Réaliser des dashbords clairs et synthétiques
-       Savoir restituer des résultats corrects.
-       Documenter les travaux réalisés","De formation supérieure en statistiques et mathématiques, vous justifiez d au moins 2 années d expérience acquises dans le traitement des données et les études statistiques, idéalement en société de services, dans un département de type « connaissance client » ou R&D.
Vous disposez des compétences techniques confirmées en :
-       SQL
-       Data Visualisation / Dashbord : Data studio, Power BI, Tableau Software
-       Connaissance des différents cloud (exemple : GCP, Azure ou AWS)
Ce poste nécessite d avoir une grande capacité d adaptation, un bon relationnel pour communiquer à la fois avec des personnes techniques mais également des personnes issues du métiers ; une appétence business et la capacité à analyser et comprendre les enjeux.",Aucune langue attendue,,,
VR CONSEIL,"1 
 CDI",Paris 09 - 75,Publiée le 14/12/2023,Actualisée le 15/01/2024,45 - 75 k€ brut annuel,Dès que possible,Minimum 5 ans,Data engineer,Cadre du secteur privé,Pas de déplacement,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,Partiel possible,"Auprès d'un de nos clients dans l'univers de la Finance de Marché, vous interviendrez en tant que data engineer ou data analyst. Dans ce cadre, vos principales missions seront les suivantes :
Comprendre les besoins des utilisateurs et les traduire de manière analytique
Identifier, collecter, stocker et analyser les données.
Développer des algorithmes permettant de répondre aux problèmes posés et veiller à leur industrialisation
Extraction des données massives brutes
Construire des bases de données robustes
Concevoir les moyens de communication et réaliser des reportings
Alteryx, MSBI, Bigdata, Spark scala, Datalake, Talend,...","De formation supérieure Bac+ 4/5, vous justifiez d'expériences significatives (minimum 5 ans) en tant que Data Engineer ou Data Analyst.
Dynamisme, rigueur, capacité d adaptation et d'intégration ainsi que votre esprit d""équipe et vos qualités humaines seront vos meilleurs atouts.
Pourquoi nous rejoindre ?
ESN à taille humaine, nous accordons une place centrale au suivi et à l'accompagnement de nos consultants,
Nous ne proposons que des missions de longue durée,
Nous sommes spécialisés en Finance : un secteur innovant et exigeant qui vous permettra d'évoluer au sein d'équipes performante.,
Et bien sûr des équipes à l'écoute et conviviales que vous serez heureux de retrouver !",Aucune langue attendue,,,
MACIF,"1 
 CDI",Niort - 79,Publiée le 07/02/2024,Actualisée le 07/02/2024,A négocier,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,AUTRES ASSURANCES,Partiel possible,"Vous avez envie de donner un nouvel élan à votre parcours professionnel
Rejoignez Macif Finance Epargne spécialisé dans la réponse à apporter aux besoins financiers et d'épargne des sociétaires.

Macif Finance Epargne recrute un Data analyst (F/H), en CDI à Niort.

Contexte :
Face à un changement de notre système d'information et d'outils qui transforme la manière d'interagir avec les données, le service Connaissance Client, en charge de réaliser des études de comportement, souhaite renforcer son équipe sur le domaine data.

Nous recherchons donc une personne dotée d'une double compétence : science des données et analyse des données et ayant une bonne connaissance en analyse statistique.

Missions principales Data Science :

- Constituer des bases d'études, à partir de données structurées ou non structurées provenant de sources diverses ;
- Faire de l'analyse exploratoire des données pour comprendre les tendances et les relations entre les différentes variables ;
- Mettre en place de techniques (statistiques, text mining, comportementale, ...) d'extraction et d'analyse d'informations, obtenues à partir de gisements de données (Big Data) ;
- Proposer des solutions innovantes permettant de valoriser les données et définir les modélisations appropriées ;
- Communiquer les résultats : présenter des travaux à l'équipe ainsi qu'aux interlocuteurs métier (non techniques) ;
- Mettre en production les travaux réalisés.

Missions principales Connaissance Client :

- Réaliser des études descriptives nécessaires au diagnostic de notre portefeuille ;
- Analyser et modéliser le comportement de nos clients ;
- Qualifier des profils optimaux à cibler en fonction du parcours et du cycle du client ;
- Construire et optimiser des scores d'appétences ;
- Présenter des résultats et faire des préconisations.","Vous possédez un BAC +5 avec une spécialisation en statistiques, informatique ou Data Science, et justifiez d'une expérience de minimum 2 ans sur des projets de data science vous ayant permis d'acquérir des connaissances sur des algorithmes de machine learning, deep learning.

Vous maitrisez R, Python, Spark, SQL. La connaissance de Dataiku et de SAS serait un atout supplémentaire.

Des connaissances en Intelligence Artificielle seraient un plus.

Vous faites preuve de rigueur et de structure dans le traitement de la donnée, avec une capacité à restituer l'information de manière claire et synthétique.

Vous accordez une importante particulière à la qualité des livrables ainsi qu'à la présentation et la vulgarisation des résultats.

Votre sens relationnel et votre esprit d'équipe vous permettront également de vous adapter rapidement au poste.

La prise d'initiative, l'autonomie et la proactivité seront des éléments essentiels de votre profil.

Vous êtes force de proposition pour apporter des solutions innovantes.",Aucune langue attendue,,,
MYDRAL,"1 
 CDI",Paris 02 - 75,Publiée le 05/02/2024,Actualisée le 05/02/2024,40 - 45 k€ brut annuel,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Régionale,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Ponctuel autorisé,"Les tâches proposées ?
Sous la supervision du Directeur des services, vous intégrez une équipe de purs players de la BI, basée en Île-de-France. Vous participez à toutes les phases de mise en œuvre d une application décisionnelle de BI agile et êtes amené à :
Analyser l'existant
Recueillir les besoins et estimer les charges
Prendre en charge les spécifications fonctionnelles
Animer des ateliers client
Modéliser des processus métiers / Comportements à partir des données sources
Effectuer des connexions de données
Intégrer la solution
Créer de KPIs et Dashboards prédictifs pour le métier
Créer des applications sous Tableau Software
Rédiger et suivre la stratégie de recette
Réaliser et suivre les développements
Former des utilisateurs","Le profil recherché ?
Passionné de la Data et diplômé d'un BAC+5 en Ecole d ingénieur (EISTI, Polytech, Télécom Paristech, MIAGE, etc.)

Vous avez une expérience significative (par exemple dans le cadre d'alternance) sur des projets data avec de fortes compétences en modélisation (Analyse de données, modélisation statistique ), réalisation d applications décisionnelles et datavisualisation.
Vous souhaitez monter en compétences sur les outils de nos partenaires : Tableau Desktop, Tableau Server, Tableau Prep, Knime Analytics, Knime Server, Vertica, Snowflake, etc. 

Vous avez de bonnes connaissances techniques sur les outils de Data Preparation, de Data Science, de Stockage de la donnée et de Data visualisation, etc.

Vous avez développé un fort sens du service, un bon relationnel avec vos clients et la rigueur nécessaire au succès de vos projets.

Qualités indispensables pour réussir chez Mydral : smart, réactif, autonome, rigoureux, fiable, organisé et SYMPA !
Vous vous reconnaissez dans cette description ? Oui ?! Nous avons une place pour vous !",Aucune langue attendue,,,
MICHAEL PAGE INTERNATIONAL FRANCE,"1 
 CDI",Rennes - 35,Publiée le 27/01/2024,Actualisée le 27/01/2024,45 - 55 k€ brut annuel,Dès que possible,Aucune expérience exigée,Data analyst,Cadre du secteur privé,Pas de déplacement,FABRICATION DE PRODUITS DE CONSOMMATION COURANTE EN MATIÈRES PLASTIQUES,,"Vos responsabilités comme Data Analyst :
La collecte, le nettoyage et l'organisation de données provenant de diverses sources, internes et externes,
L'analyse des données pour déceler des tendances et enrichir notre compréhension de la clientèle,
La création de modèles prédictifs, notamment pour des prévisions de demande,
La collaboration étroite avec les équipes métier afin de cerner leurs objectifs et de recommander des solutions fondées sur les données,




Votre contribution à la gouvernance des données en mettant à jour la documentation dans les outils existants et en veillant à la qualité des données.

Votre participation à l'élaboration de la stratégie Data du Groupe en proposant de nouveaux cas d'utilisation.","De formation supérieure en statistiques, informatique ou mathématiques appliquées, vous avez au moins une première expérience en data.

Les Fit :
Maîtrise des outils d'analyse de données tels que SQL, Python ou R,
Faculté a identifier et comprendre les besoins métier,
Compétences en gestion de projet et capacité à travailler de manière autonome,
Pédagogie et faculté à communiquer.




Les plus :
Expérience en modélisation (séries temporelles, ML...),
Connaissance de git et des outils de CI/CD,
Expérience dans des outils de visualisation BI.",Aucune langue attendue,,,
ENGIT,"3 
 CDI",Valbonne - 06,Publiée le 25/01/2024,Actualisée le 07/02/2024,43 - 45 k€ brut annuel,Dès que possible,Minimum 3 ans,Data engineer,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Ponctuel autorisé,"Dans le cadre du développement de nos activités « Cloud & Data Engineering » à Sophia Antipolis (Côte d’Azur), nous recherchons un(e) Data Engineer passionné(e) par les projets de R&D IT.
Sur notre site localisé à Sophia Antipolis sur la Côte d'Azur, nos équipes engIT accompagnent des acteurs économiques privés et publics dans leurs grands projets de transformation digitale et innovation IT (ex : développement de nouvelles applications de gestion des flux data, intégration du metaverse dans leur écosystème, déploiement de la réalité augmentée, migration vers le cloud).
En rejoignant notre pôle d’expertise « Cloud & Data Engineering », vous serez amené(e) à intervenir sur des projets qui collectent, traitent et convertissent les données brutes en informations pouvant être interprétées par les Analystes BI ou Data.
Une connaissance des systèmes distribués et de l’informatique est nécessaire.
Vous aurez notamment à :
·       Participer aux revues des spécifications, proposer solutions et réaliser les études de faisabilité,
·       Développer, construire, tester et maintenir les pipelines de données,
·       Créer de nouvelles méthodes de validation de données et des outils d’analyse des données,
·       Assurer la conformité avec les politiques de sécurité des données et règles RGPD,
·       Identifier les moyens d’améliorer la fiabilité, l’efficacité et la qualité des données,
·       Automatiser les processus manuels,
·       Préparer les données pour la modélisation prédictive et prescriptive,
·       Participer à la phase de validation/acceptance des données,
·       Compétences DevOps nécéssaire pour assurer la mise en production, le monitoring et les activités de maintenance.
Environnement Technique : MapR, Scala, Spark, Kafka, Hadoop, Java, ETL, MS Azure, Agile Scrum, Environnement anglophone","Vous êtes diplômé(e) Ingénieur Informatique (Bac+5 Cycle Ecole d’Ingénieur). Vous avez à minima 3ans d’expériences en tant que Data Engineer. Vous aimez les défis qui nécessitent une logique mathématique et votre niveau d’anglais vous permet de parler avec des termes techniques. Vous avez un excellent esprit d'analyse et le sens de la communication/organisation.
Poste basé sur la côte d’azur à Sophia Antipolis première technopole européenne (à côté de Nice, Monaco, Cannes).",Anglais,,,
Recrulab,"1 
 CDI",Lyon 09 - 69,Publiée le 25/01/2024,Actualisée le 25/01/2024,45 - 55 k€ brut annuel,Dès que possible,Minimum 1 an,Data analyst,Cadre du secteur privé,Pas de déplacement,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,"PRÉSENTATION DE L’ENTREPRISE

L’entreprise que nous accompagnons est un client final dans le domaine de l’assurance.

Afin d’accompagner sa croissance, nous l’aidons à recruter Data Analyst H/F en CDI sur Lyon 9.

DESCRIPTION DU POSTE

Vous intégrerez le service DATA composé de 3 personnes.

Vos principales missions seront les suivantes : 
Collecter et organiser les données clés de l'entreprise afin de les rendre fiables, et disponibles pour tous ;
Exploiter l'ensemble des données de l'entreprise, les analyser pour en extraire des connaissances utiles à l'optimisation des offres et services de l'entreprise ;
Créer, faire évoluer et livrer les tableaux de bords et reporting à des fins internes et externes ;
Rédiger des documents de synthèse pour faire part de vos analyses à la direction ;
Accompagner la direction financière dans l'analyse des marges ;
Être force de proposition ;
Réaliser une veille technologique sur les outils et les méthodes permettant d'améliorer l'organisation et collecte des données.","Vous disposez de 5 années d’expérience minimum sur un poste orienté Data.

Vous maîtrisez le logiciel SAS (Base/Entreprise Guide ou VIYA), ainsi que la programmation sous VBA, SAS et R. La connaissance du logiciel Salesforce est un plus.

Autonome, rigoureux et organisé, vous aimez travailler en équipe, et saurez faire preuve d'écoute avec un bon esprit d'analyse et de synthèse.",Aucune langue attendue,,,
SII,"1 
 CDI",Lille - 59,Publiée le 11/12/2023,Actualisée le 12/01/2024,33 - 45 k€ brut annuel,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"Devenez le prochain collaborateur d'SII Nord, en tant que : Data analyst (H/F)

En intégrant l’équipe data de l'un de nos client, les missions qui vous sont confiées sont :

•    D’aider à la conception des modèles de données
•    D’optimiser/améliorer le reporting existant
•    D’aider sur le calcul des KPI
•    D’optimiser les requêtes 
•    De participer aux divers projets liés à la data (développement d’algorithme, croisement de données etc.)","Dans l’idéal (oui uniquement dans l’idéal, chez nous on ne cherche pas qu’un CV mais une collaboration durable), vous êtes issu d’une formation supérieure Bac +5 et vous justifiez d’une expérience de 2 ans  min sur un poste de Data Analyst. 
BigQuery, PowerBI ou encore GCP n’ont plus de secret pour vous. 
Au-delà des compétences techniques, vous êtes/avez : 
•    Rigoureux : chaque détail a son importance 
•    Curieux : Désireux de connaître le « pourquoi » et le « comment » 
•    Organisé : chaque journée commence par une « To do » 
•    Sens du service : la satisfaction client est votre objectif premier 
Ces qualités vous permettent de mener à bien le projet. ",Aucune langue attendue,,,
FAB GROUP,"1 
 CDI",Villeneuve-d'Ascq - 59,Publiée le 30/01/2024,Actualisée le 30/01/2024,35 - 50 k€ brut annuel,Dès que possible,Minimum 2 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,"MESSAGERIE, FRET EXPRESS",Partiel possible,"Aujourd'hui, nous recherchons pour l'un de nos clients, un acteur du secteur Logistique, de premier plan, un Data Analyst F/H basé à Villeneuve d'Ascq (59).

Au sein de la Direction Réseaux, vous accompagnez l'équipe sur les aspects IT/Data pour permettre à l'entreprise d'atteindre ses ambitieux objectifs de croissance et d'excellence, aussi bien sur la préparation et l'analyse des DATA que sur les gains de productivité, dans une démarche d'amélioration continue des process opérationnels.

- Vous participez à la qualité de la base de données du CRM et à sa mise à jour (import/export).
- Vous effectuez des recoupements et analyses opérationnelles avec les différentes sources de données de l'entreprise afin de détecter les éventuels problèmes et participez à la mise en place d'actions correctives.
- Vous construisez des modèles permettant aux managers de suivre l'activité et de faciliter les processus décisionnels, et mettez en place des reportings automatisés.
- Vous coopérez au niveau européen (en visant à la convergence des méthodes de travail) avec les autres experts data opérationnelles du groupe.
- A partir du besoin exprimé par les équipes métiers, vous créez et maintenez des automatisations IT permettant des analyses métiers et d'améliorer à la fois la fiabilité, la performance et la productivité sur l'ensemble de l'activité.","Diplômé(e) d'un BAC+5 à dominante informatique/data (ingénieur ou master), vous présentez au moins une première expérience significative dans la gestion de bases de données provenant de diverses sources.

Vous avez une bonne maîtrise du codage et des outils de Data visualisation (Power BI est un plus), vous êtes familier avec les plateformes cloud (Python, SQL, GCP est un plus) et avez une excellente maitrise d'Excel. La connaissance des Webhooks, APIs et outils low-code (Make / ex-Integromat, Power Automate) serait un plus.

Rigoureux, impliqué, vous êtes attentif aux besoins du business et des opérations et aimez créer des solutions pertinentes pour vos utilisateurs que vous savez également challenger.

Un niveau d'anglais courant est nécessaire pour mener à bien votre mission.",Anglais,,,
BPMéditerranée,"1 
 CDI",Marseille 08 - 13,Publiée le 11/01/2024,Actualisée le 11/01/2024,38 - 44 k€ brut annuel,Dès que possible,Minimum 3 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,"AUTRES ACTIVITÉS DES SERVICES FINANCIERS, HORS ASSURANCE ET CAISSES DE RETRAITE, NCA",,"Poste et missions Le/la Data Analyst a pour mission d'exploiter et d'interpréter les données pour en dégager des observations métier utiles. - Identifier, extraire et analyser les données internes ou externes: * Exploiter et analyser les données à l'aide de ses connaissances analytiques et informatiques dans le but de résoudre les problématiques métiers - Apporter un appui analytique à l'analyse des besoins métier et des besoins des dirigeants: * Recueillir les demandes, identifier les enjeux et besoins, collecter les indicateurs et données nécessaires pour y répondre * Présenter les résultats des analyses pour faciliter la prise de décision * Créer des tableaux de bord, mettre en place des KPIs et reporting de performance pour donner une vision cohérente des résultats aux différentes équipes * Participer à la construction des objectifs commerciaux ainsi qu'à la déclinaison de ces objectifs dans les outils de pilotage - Contribuer à la modélisation et l'architecture des données: * Participer au choix des outils et de l'infrastructure Data * Donner des préconisations autour des variables utilisées / à utiliser / disponibles * Participer à l'industrialisation des outils de pilotage - Maintenir et documenter: * Produire des documents qui décrivent les produits, services, composants, procédures, indicateurs de gestion ou applications * Identifier et résoudre la cause initiale des incidents * Contribuer à la formalisation du support de démo - Contribuer à l'acculturation et à la sensibilisation de l'entreprise: * Vulgariser et synthétiser les informations pour les rendre compréhensibles par tous * Contrôler la qualité des données * Promouvoir et accompagner la prise en main des outils de pilotage de la performance","- Bac +5 de type mathématique, statistique, économique, informatique
- minimum 3 ans d'expérience réussie dans le domaine de l'administration des données
- Maîtrise du langage de programmation SQL indispensable. La maitrise des autres solutions serait un plus très apprécié.
- Maîtrise des outils de Data visualisation (Power BI)
- Maîtrise des logiciels Office 365
- Méthodes statistiques et traitement de l'information
- Mécanismes économiques et financiers
- Connaissances environnement bancaire
- Culture DATA
- Des capacités d'analyse et de synthèse
- Travailler en équipe, expérience avec les méthodes agiles
- Autonomie, rigueur et proactivité
- Aisance pédagogique et de vulgarisation
- Sens de l'organisation
- Aisance relationnelle et rédactionnelle",Aucune langue attendue,,,
