entreprise,type_contrat,deparetement,date_publication,date_mise_a_jour,salaire,prise_de_poste,experience,metier,statut_du_poste,zone_de_deplacement,secteur_d_activite,Teletravail,descriptif_poste,profil_recherche,langues,savoir_etre,savoir_faire,descriptif_entreprise
Guarani Atlantique,"1 
 CDI",Nantes - 44,Publiée le 09/01/2024,Actualisée le 09/01/2024,36 - 50 k€ brut annuel,Dès que possible,Minimum 3 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,Partiel possible,"Nous recherchons un Data Analyst pour l'un de nos clients. Vous évoluerez au sein d'une équipe dynamique et nous vous confierons les responsabilités suivantes : 
-        Recueillir, traiter et étudier les données statistiques pour produire des analyses métiers et des recommandations.
-        Construire et faire évoluer les rapports issus du Business Intelligence & Web Analytics pour permettre aux différentes équipes d avoir une vision cohérente sur les résultats d activité des produits et leur bon fonctionnement technique.
-        Gérer les outils d analyses permettant aux décideurs internes ou aux clients de suivre l évolution de leurs sites ou produits et pouvoir anticiper les décisions.
-        Assurer la bonne interprétation et la diffusion des rapports d analyses résultant du Business Intelligence & Web Analytics.
Vous êtes force de proposition et vous souhaitez évoluer sur des missions innovantes. ","Diplômé(e) de Poudlard vous êtes la solution miracle à tous les problèmes   
Non plus sérieusement : au-delà du CV, nous recherchons avant tout un excellent tempérament. 
Vous maîtrisez un ou plusieurs logiciels parmi les suivants : Big Data, Spark, Scala ? Vous êtes au bon endroit !  
Vous justifiez d au moins deux ans d expérience ainsi qu'un bon niveau d anglais ? En plein dans le mille. 
Vous voulez rejoindre l'aventure ? N'hésitez pas à postuler pour vous joindre à nos équipes",Anglais,,,
HUET Manon,"1 
 CDI",Lille - 59,Publiée le 16/01/2024,Actualisée le 16/01/2024,A négocier,Dès que possible,Minimum 3 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"SA MISSION :
Mettre en œuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d'organiser, synthétiser et traduire efficacement des données.
SON ACTIVITE :
- Il fournit un appui analytique à la conduite d'exploration et à l'analyse complexe de données
- Il crée des algorithmes de recherche de données qui permettent d'explorer les données utiles.
- Il procède aussi à l'industrialisation du procédé pour les données les plus intéressantes. Et organise, synthétise et traduit les informations pour faciliter la prise de décision.
- Il gère les opérations et l'administration, la modélisation et l'architecture des gisements de données. Et s'assure que les bases de données existantes fonctionnent bien et en cohérence.","SES LIVRABLES :
- Modèle et structuration des données
- Algorithme / Méthode statistique
Nous recherchons une personne qui n'hésitera pas à participer aussi à la consolidation de notre plateforme Data, avec une recherche constante de qualité, dans un soucis impératif de sécurité informatique.",Aucune langue attendue,,,
CARIFOREF PAYS DE LA LOIRE,"1 
 CDD 
 de 5 mois",Nantes - 44,Publiée le 01/02/2024,Actualisée le 01/02/2024,A partir de 30 k€ brut annuel,01/04/2024,Tous niveaux d'expérience acceptés,Data analyst,Agent de maîtrise / Technicien,Pas de déplacement,"ADMINISTRATION PUBLIQUE (TUTELLE) DE LA SANTÉ, DE LA FORMATION, DE LA CULTURE ET DES SERVICES SOCIAUX, AUTRE QUE SÉCURITÉ SOCIALE",Partiel possible,"📌Envie d'intégrer une structure renommée et reconnue pour les éclairages qu’elle apporte à l’Etat et la Région des Pays de la Loire sur les questions d’emploi, de formation et d’orientation professionnelle. Rejoignez-nous !
Dans le cadre d’un congé maternité, vous serez attendu, au sein du pôle Aide à la décision institutionnelle et individuelle (équipe pluridisciplinaire de 5 personnes).
Rattaché au responsable du pôle, vous maintiendrez le système d’information du pôle, ses bases de données, et des outils de data visualisation, afin de contribuer à la production des analyses menées par l’équipe.
✅ Vos principales missions sont de :
Alimenter, mettre à jour et maintenir le système d’information Stats et les univers Stats
Concevoir des outils de data visualisation
Outiller le système d’information du pôle
✅ Conditions d'emploi :
Télétravail possible (2 jours par semaine pour un temps plein)
28 jours de congés et 2 ponts
35h temps plein (ou 39 heures avec des RTT)
Chèque Déjeuner (9.15 €, prise en charge de l'employeur : 60%)
Mutuelle familiale (100% employeur)
Chèques cadeaux pour Noël 
Des déplacements occasionnels, principalement à Nantes, voire en région.","De formation Bac +3 (science des données, data analyst, informatique/statistique, …), vous avez idéalement une expérience de 6 mois minimum sur un poste similaire.
👉 Vos atouts ?
La maîtrise de ce qu’est un système d’information,
La maîtrise de la gestion de bases de données relationnelles (notamment sur MySQL), des langages associés (plus particulièrement SQL), des langages de script (JavaScript), et des outils de requêtage (Business Object),
Une connaissance des sources de données et des nomenclatures utilisées (statistique publique…) sur le champ de l’emploi, de la formation et de l’orientation professionnelles et du tissu régional serait un plus, à défaut une curiosité/intérêt pour ce sujet,
Collaborant avec de nombreux interlocuteurs tant en interne (chargées d’études et cheffe de projet Analyse socio-économique des territoires du pôle, responsables informatiques, développeur) qu’en externe (techniciens des institutions partenaires au niveau régional et national…), pédagogie et aisance relationnelle font également partie de vos atouts.",Aucune langue attendue,,,
NEXTON CENTER,"1 
 CDI",Lille - 59,Publiée le 23/01/2024,Actualisée le 23/01/2024,A négocier,Dès que possible,Minimum 5 ans,Data analyst,Cadre du secteur privé,Régionale,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"NEXTON recrute un WEB ANALYST H/F, en CDI, à Lille !

Qui sommes-nous ?

NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…).

Nous sommes experts du digital aussi bien sur de l'accompagnement stratégique qu'opérationnel.

Fort du succès, NEXTON connaît aujourd'hui un développement significatif, autour de ses valeurs piliers : cohésion, confiance et performance.

Et pour toi ? Notre politique de développement des compétences dynamique saura te séduire avec un programme de suivi de carrière sur-mesure.

Le contexte :

Au sein de l'équipe Data de notre client, qui est un acteur majeur du Retail en France, tu es amené à intervenir en tant que Web Analyst en transverse afin que chaque nouvelles features soient correctement traquées via AT Internet.


Les missions :

Comprendre les besoins métiers et les décliner en écrivant le plan de taggage
Maintenir le data layer transverse et uniformiser le taggage
Garantir la cohérence des plans de taggage sur l'ensemble des offres et des devices (Rédaction de spécifications fonctionnelles, suivi des réalisations et des développements)
Accompagner les équipes techniques dans la bonne implémentation du taggage
Mettre en place des process et mécanismes de vérification de la data
Recetter : Valider la pertinence et l'homogénéité de la récolte de données
Piloter et analyser l'impact sur les performances du site","De formation de niveau Bac +5, tu justifies d'une expérience de minimum 2 ans en tant que Web Analyst. Tu as une bonne connaissance des outils analytics de base.
Tu as une bonne maîtrise des outils comme : Piano analytics, AWS, Looker studio, Google Tag Manager ou encore Superset.

Méthodique, rigoureux, autonome et force de proposition, tu as la volonté de t'impliquer dans une jeune entreprise en forte croissance.

NEXTON c'est aussi et surtout de nombreux moments de rencontres tout au long de l'année :

- Des communautés : 2 Meet Up par mois pour partager et échanger avec des experts

- De nombreux moments de rencontres professionnels et extra professionnels tout au long de l'année

- Des moments privilégiés avec ton manager

Prêt à nous rejoindre ? Rencontrons-nous !",Aucune langue attendue,,,
Lydia CHERFI,"1 
 CDI",Neuilly-sur-Seine - 92,Publiée le 24/01/2024,Actualisée le 24/01/2024,A négocier,Dès que possible,Minimum 4 ans,Data analyst,Cadre du secteur privé,Nationale,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"Vous avez un profil de Data Analyst (H/F) ?
 Nous vous proposons de rejoindre, en CDI, le pôle DATA.
 Votre mission :
Vous participerez à la mise en place de solutions basées sur l'outil POWER BI dans divers domaines et secteurs d'activité (Finance, RH, Retail, BTP, etc.) ;
Vous contribuerez au développement de PREREQUIS en renforçant l'expertise Power BI, en acquérant de nouvelles compétences et en prenant part à la vie de l'entreprise.","Vous avez acquis au moins 4 ans des compétences techniques et fonctionnelles autour de l'outil Power BI / Suite Microsoft (SSRS, SSIS, …) , dans un cabinet de conseil, une ESN ou chez un client final de cet outil ;
Une maitrise technique et fonctionnelle de Power BI, DAX, appels API et des architectures de flux de données AZURE ;
Une expérience antérieure d'un ou plusieurs composants de la suite Microsoft (SSIS, SSAS, SSRS, SQL Server) (optionnel) ;
Une connaissance d'un ou plusieurs domaines d'activité de l'entreprise : achats, finance, logistique, retail, BTP, banques, etc ;
Une compréhension globale d'un projet de déploiement / migration BI (la connaissance d'autres outils BI du marché serait un plus : Microstrategy, Tableau, etc.) ;
Une capacité à rédiger : des spécifications techniques et fonctionnelles, des plans de test liés aux spécifications réalisées ;
Être capable de réaliser les tests / valider les projets réalisés.
 Vous souhaitez travailler dans une entreprise à taille humaine où l'humain compte vraiment ?
Vous appréciez partager vos savoirs et des moments sympathiques avec vos collègues ?
 Si en lisant les phrases ci-dessus, vous vous reconnaissez (ou presque), c'est que nous avons besoin de vous !",Aucune langue attendue,,,
GENERATION,"2 
 CDI",Quimper - 29,Publiée le 26/01/2024,Actualisée le 26/01/2024,A négocier,Dès que possible,Tous niveaux d'expérience acceptés,Data analyst,Agent de maîtrise / Technicien,Pas de déplacement,ACTIVITÉS DES AGENTS ET COURTIERS D'ASSURANCES,,"Les plus que vous apprécierez :

-Faire un métier utile qui sert positivement les entreprises, les individus et la société par la gestion de contrats complémentaire santé et prévoyance
-Apporter votre contribution à la réalisation de notre projet stratégique
-Travailler avec une équipe à taille humaine au sein d'un groupe familial, européen et indépendant
-Se sentir attendu avec un parcours d'intégration pour faciliter vos premiers pas
-Développer vos compétences grâce à la formation continue
-Profiter de certains avantages : mutuelle familiale, prévoyance, PERCO, participation aux bénéfices, télétravail jusqu'à 2j/semaine, CSE, 1% logement, plages de travail fixes et variables, ...

Votre rôle principal :

Pour accompagner la croissance de Génération, nous recherchons un(e) Data Analyst pour exploiter et valoriser nos données. Véritable appui technique des équipes, vous permettez aux différents métiers Génération de piloter leur activité mais également d'améliorer notre connaissance client et de répondre aux enjeux spécifiques de nos différents partenaires (entreprises, porteurs de risques et apporteurs...).



Vos missions :

-Participer aux ateliers d'expression des besoins internes, comprendre les problématiques métiers et les traduire de manière analytique
-Réaliser des tableaux de bord industrialisés grâce à des outils de data visualisation
-Répondre aux demandes d'études spécifiques de nos clients en mettant en avant les indicateurs les plus pertinents
-Mettre à disposition des utilisateurs des accès aux données encadrés et cohérents par rapport à leurs besoins
-Maîtriser la qualité des données tout au long de leur traitement
-Modéliser les données issues de différentes sources pour permettre leur exploitation
-Planifier les projets, suivre le calendrier partagé et remonter les éventuelles alertes","De formation supérieure en études statistiques, vous bénéficiez d'une première expérience post-études dans une fonction similaire.
Vous avez une bonne maîtrise des outils décisionnels type Business Object et Qliksense, du langage Python, d'Excel (macros Excel VBA). La connaissance d'une plateforme Data comme Alteryx serait un plus.
Rigoureux et organisé, vous savez gérer les priorités et faire preuve d'une bonne capacité d'analyse.
Vous aimez travailler en équipe et prendre des initiatives.

Poste à pourvoir en CDI, à temps plein et basé à Quimper (29).

Le process de recrutement :

Nous souhaitons avoir un processus de recrutement claire et fluide, voici les prochaines étapes si votre candidature est retenue :
-Echange avec un de nos chargés de recrutement et envoi éventuel d'un inventaire de personnalité (AssessFirst)
-Rdv avec le responsable du service
-Rdv avec la directrice d'activité
-Retour à la suite des entretiens",Aucune langue attendue,,,
OTTEO,"1 
 CDI",Lille - 59,Publiée le 05/02/2024,Actualisée le 05/02/2024,A partir de 45 k€ brut annuel,Dès que possible,Minimum 5 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,"INGÉNIERIE, ÉTUDES TECHNIQUES",Partiel possible,"Votre 1er projet :
Vous accompagnerez notre client, grand groupe dans le secteur du retail, situé au sein de la Métropole Lilloise.
 Vos missions :
Analyser les performances des magasins et des applications digitales qui leurs sont dédiées
Être le point de contact avec les équipes product management
Accompagner les équipes business et être force de proposition dans les analyses et recommandations
Développer et documenter tes analyses (data sourcing, hypothèses et méthodes analytiques) dans une logique Lean & Agile, en respectant les standards appliqués au sein des équipes
Assurer le monitoring des analyses existantes, anticiper les impacts et organiser le support
Rendre compte directement à l'analytics manager, au product manager et au sponsor du projet à travers des interfaces simples et user friendly
Accompagner dans l'usage de celles-ci et dans l'application opérationnelle des études
 Vous vous y voyez déjà, pas vrai ? Ça tombe bien, ce n'est pas fini !
 La cerise sur le gâteau :
Des chèques vacances et chèques cadeaux : notre CSE pense à vos petites folies et à vos week-ends prolongés !
Une carte tickets restaurant (10 euros /jour dont 60% pris en charge par OTTEO) pour vos pauses déj' !
La participation aux bénéfices à débloquer immédiatement ou à faire fructifier sur votre PEE
Une prime liée à votre projet et des primes d'ambassadeurs (cooptation, apport d'affaires...) pour participer au développement de la société
Une mutuelle prise en charge à 100% pour veiller à votre santé
Une prévoyance améliorée pour les coups durs
La prise en charge à 100% de votre titre de transport. Prenons soin de la planète ! #ISO14001
Des évènements festifs pour passer de bons moments entre collègues","Vous êtes arrivé jusqu'ici ? C'est que l'offre doit vous plaire ! Alors si vous vous sentez l'âme d'un ambassadeur OTTEO, rien de plus simple ! Il vous suffit :
D'être diplômé(e) d'un Bac +5 en informatique
D'avoir au moins 5 ans d'expérience en Data Analyse
D'avoir de bonnes connaissances et des compétences en :
SQL
Python
Tableau
 Le petit plus de votre candidature ? Vous êtes rigoureux, autonome et force de proposition.",Aucune langue attendue,,,
Sonia Cardoso,"1 
 CDI",Paris 09 - 75,Publiée le 01/02/2024,Actualisée le 01/02/2024,60 - 70 k€ brut annuel,Dès que possible,Minimum 5 ans,Data analyst,Cadre du secteur privé,Pas de déplacement,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,Partiel possible,"Le poste
Mon client développe des dispositifs publicitaires permettant aux marques d’acquérir de nouveaux clients et garantir un retour sur investissement. Tu collaboreras avec toutes les parties prenantes projet pour identifier les opportunités d'exploitation de données (6 millions dont 2 millions opti-in partenaire), afin de générer des solutions commerciales.
Les responsabilités
Extraire et analyser des données pour créer des analyses ad hoc qui permettent une meilleure compréhension des segments de clientèle, des campagnes marketing, des tendances commerciales et des performances des canaux
Traduire les informations sur les données en recommandations et résultats convaincants et précis pour les spécialistes du marketing et les autres parties prenantes comme l’édito.
Diriger le processus régulier de prévision de l'entonnoir des clients marketing et évaluer l'efficacité des activités CRM, Digital, marque, médias et publicité.
Utilisez la modélisation prédictive pour augmenter et optimiser les expériences client, la génération de revenus et d'autres résultats commerciaux.
Coordonner avec différentes équipes fonctionnelles pour mettre en œuvre des tableaux de bord et surveiller les résultats.
Développer des processus et des outils pour surveiller et analyser les performances des modèles et l'exactitude des données.","5 ans min d'expérience sur un poste similaire en ayant développé les compétences suivantes :
Connaissance d'une variété de techniques d'apprentissage automatique (clustering, apprentissage par arbre de décision ).
Connaissance des techniques et concepts statistiques avancés (régression, propriétés des distributions, tests statistiques ).
Capacité de traduire des données complexes en informations significatives",Aucune langue attendue,,,
Altelios Technology Group,"1 
 CDI",Boulogne-Billancourt - 92,Publiée le 10/01/2024,Actualisée le 10/01/2024,45 - 55 k€ brut annuel,Dès que possible,Minimum 1 an,Data analyst,Cadre du secteur privé,Pas de déplacement,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,"Vous rejoindrez l’équipe Product Analytics de notre client, acteur majeur de l'audiovisuel, qui a pour mission d’accompagner l’organisation Produit dans sa prise de décision à travers l’exploitation de ses données d’usage. 
Afin que l’organisation ait à disposition les meilleurs méthodologies et outils dans cette optique, votre rôle consistera à : 
Collaborer avec les équipes Product Strategy afin de déterminer les bonnes métriques de succès sur leurs initiatives 
Mettre en place des outils de suivi des performances des features développées et du produit au global
Accompagner l’équipe Product Strategy dans la mise en place et l’interprétation d’A/B tests 
Faire des analyses exploratoires afin de mieux comprendre l’usage de la plateforme par nos clients et les facteurs d’acquisition, de monétisation et de rétention 
Collaborer avec les équipes Produit et les équipes métier pour maintenir et mettre à jour le plan de traçage 
Collaborer avec l’équipe Data afin d’améliorer et optimiser les méthodes d’accès aux données pour l’équipe et l’organisation au global","Vous disposez d’au moins minimum 1 an d’expérience dans un rôle analytique 

Vous avez effectué des études avancées dans le domaine de l’ingénierie, des mathématiques ou des statistiques 
Vous avez de l’expérience avec des langages pour accéder aux données (e.g. SQL, Python) et avec des outils de visualisation de données (e.g. Tableau, Looker). Une maitrise d’Amplitude serait fortement appréciée. 
Vous parlez anglais et êtes à l’aise dans un environnement international

Vous appréciez travailler avec des volumes de données de toute taille et avez envie de contribuer à amener les données au cœur des prises de décision",Anglais,,,
NEXTON CONSULTING,"1 
 CDI",Paris 02 - 75,Publiée le 23/01/2024,Actualisée le 23/01/2024,A négocier,Dès que possible,Aucune expérience exigée,Data analyst,Cadre du secteur privé,Départementale,AUTRES ACTIVITÉS INFORMATIQUES,,"NEXTON recrute un PRODUCT DATA ANALYST H/F, en CDI, à Paris !

Qui sommes-nous ?

NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…).

Nous sommes experts du digital aussi bien sur de l'accompagnement stratégique qu'opérationnel.

Fort du succès, NEXTON connaît aujourd'hui un développement significatif, autour de ses valeurs piliers : cohésion, confiance et performance.

Et pour toi ? Notre politique de développement des compétences dynamique saura te séduire avec un programme de suivi de carrière sur-mesure.


Contexte :

Tu rejoins l'équipe Product Analytics de notre client, leader sur le secteur des médias, qui a pour mission d'accompagner l'organisation Produit dans sa prise de décision à travers l'exploitation de ses données d'usage.


Les missions :

Collaborer avec les équipes Product Strategy afin de déterminer les bonnes métriques de succès sur leurs initiatives
Mettre en place des outils de suivi des performances des features développées et du produit au global
Accompagner l'équipe Product Strategy dans la mise en place et l'interprétation d'A/B tests
Faire des analyses exploratoires afin de mieux comprendre l'usage de la plateforme par nos clients et les facteurs d'acquisition, de monétisation et de rétention
Collaborer avec les équipes Produit et les équipes métier pour maintenir et mettre à jour le plan de traçage
Collaborer avec l'équipe Data afin d'améliorer et optimiser les méthodes d'accès aux données pour l'équipe et l'organisation au global","Tu disposes d'au moins minimum 1 an d'expérience dans un rôle analytique et as effectué des études avancées dans le domaine de l'ingénierie, des mathématiques ou des statistiques.

Tu as de l'expérience avec des langages pour accéder aux données (e.g. SQL, Python) et avec des outils de visualisation de données (e.g. Tableau, Looker).

Une maitrise d'Amplitude serait fortement appréciée.



NEXTON c'est aussi et surtout de nombreux moments de rencontres tout au long de l'année :

- Des communautés : 2 Meet Up par mois pour partager et échanger avec des experts

- De nombreux moments de rencontres professionnels et extra professionnels tout au long de l'année

- Des moments privilégiés avec ton manager

Prêt à nous rejoindre ? Rencontrons-nous !",Aucune langue attendue,,,
